Cropland_Dependency_Risk,Crop_Diversity_Score,Agri_Importance,Investment_Score,Longitude,Latitude,Predicted_Score,Residual
0.318,7.5,0.003,58.8,-83.7534,9.7489,54.6488892252923,4.151110774707696
0.484,9.2,0.05,53.2,-5.5471,7.54,59.94888047014716,-6.7488804701471565
0.643,10.0,0.003,68.3,15.2,45.1,60.260445155672606,8.039554844327391
0.556,10.0,0.012,66.8,-77.7812,21.5218,60.576009051527414,6.223990948472583
0.719,10.0,0.007,64.7,15.473,49.8175,60.35365806104409,4.346341938955916
0.463,8.8,0.065,57.9,21.7587,-4.0383,59.504773924674794,-1.6047739246747952
0.915,10.0,0.005,68.8,9.5018,56.2639,60.211061852730666,8.588938147269332
0.458,8.8,0.01,55.4,-78.1834,-1.8312,57.79647533969393,-2.3964753396939287
1.0,10.0,0.008,66.4,30.8025,26.8206,60.269485578094425,6.1305144219055805
0.737,10.0,0.002,69.8,-88.8965,13.7942,60.190787902039446,9.609212097960551
0.091,4.6,0.015,51.5,39.7823,15.1794,48.45111964737482,3.048880352625183
0.71,10.0,0.002,57.7,25.0136,58.5953,60.20186364307341,-2.5018636430734063
0.48,9.3,0.074,67.7,40.4897,9.145,60.92665071400105,6.773349285998954
0.99,10.0,0.004,55.6,25.7482,61.9241,60.149198639084375,-4.5491986390843735
0.634,10.0,0.055,52.8,1.8883,46.6034,61.881194918496696,-9.0811949184967
0.23,6.8,0.004,63.7,11.6094,-0.8037,53.10752019322289,10.592479806777114
0.705,10.0,0.001,70.0,-15.3101,13.4432,60.17281743989811,9.827182560101889
0.184,5.9,0.005,53.0,43.3569,42.3154,51.0893322278227,1.9106677721772982
0.715,10.0,0.032,66.3,10.4515,51.1657,61.13273056981095,5.1672694301890445
0.589,10.0,0.024,69.6,-1.0232,7.9465,60.93563923066492,8.664360769335076
0.5,8.5,0.011,64.3,21.8243,39.0742,57.120958671276135,7.179041328723862
0.593,10.0,0.009,62.4,-90.2308,15.7835,60.46753938519538,1.9324606148046186
0.37,8.1,0.033,51.7,-9.6966,9.9456,56.93924616687863,-5.23924616687863
0.174,5.1,0.001,52.6,-58.9302,4.8604,49.13068527747865,3.4693147225213536
0.726,10.0,0.003,57.3,-72.2852,18.9712,60.22639750730894,-2.926397507308941
0.451,8.0,0.007,48.5,-86.2419,15.2,55.86769501778694,-7.367695017786943
0.851,10.0,0.009,63.7,19.5033,47.1625,60.3617045264264,3.338295473573602
0.065,5.1,0.004,50.7,-19.0208,64.9631,49.26869025323458,1.4313097467654217
0.941,10.0,0.342,75.7,78.9629,20.5937,70.68017507744754,5.019824922552459
0.798,10.0,0.104,63.5,113.9213,-0.7893,63.337686097188055,0.16231390281194535
0.373,8.6,0.09,66.9,53.688,32.4279,59.85953471686449,7.040465283135518
0.577,10.0,0.018,61.6,43.6793,33.2232,60.75397818425717,0.8460218157428301
0.099,5.1,0.009,51.7,-8.2439,53.4129,49.410229355433074,2.2897706445669286
0.695,10.0,0.001,58.1,34.8516,31.0461,60.17691956620699,-2.076919566206989
0.75,10.0,0.024,53.4,12.5674,41.8719,60.86959499709203,-7.469594997092031
0.451,8.2,0.001,47.0,-77.2975,18.1096,56.140701422642046,-9.140701422642046
0.934,10.0,0.009,65.4,138.2529,36.2048,60.32765687806273,5.072343121937273
0.279,5.8,0.002,54.1,36.2384,30.5852,50.72727522748244,3.3727247725175644
0.139,4.6,0.411,65.6,66.9237,48.0196,60.74594690766641,4.8540530923335865
0.258,5.7,0.055,47.3,36.8172,-1.2864,52.15424980679016,-4.854249806790165
0.093,5.6,0.0,41.5,47.4818,29.3117,50.28179024133455,-8.781790241334548
0.132,5.7,0.02,49.0,74.7661,41.2044,51.11753227674134,-2.1175322767413434
0.682,10.0,0.004,58.0,24.6032,56.8796,60.27554412939772,-2.2755441293977228
0.407,8.0,0.001,54.8,35.8623,33.8547,55.6991607755676,-0.8991607755676014
0.149,5.4,0.005,59.0,28.2336,-29.6096,49.95471466282001,9.04528533717999
0.364,7.0,0.004,51.1,-9.4295,6.4281,53.51214170351746,-2.412141703517456
0.134,5.2,0.029,51.6,17.2283,26.3351,50.24761224136341,1.3523877586365884
0.776,10.0,0.006,58.1,23.8813,55.1694,60.29917867475376,-2.1991786747537603
0.482,9.1,0.0,60.6,6.1296,49.8153,58.165042577505545,2.434957422494456
0.088,4.0,0.078,57.6,46.8691,-18.7669,49.03270805554015,8.567291944459853
0.691,10.0,0.011,69.3,34.3015,-13.2543,60.48953308002787,8.810466919972129
0.967,10.0,0.016,53.4,101.9758,4.2105,60.53180072555158,-7.131800725551578
0.195,6.7,0.082,55.7,-3.9962,17.5707,55.31766940760636,0.3823305923936431
0.012,4.4,0.076,50.9,-10.9408,21.0079,49.92086968849513,0.9791303115048677
0.919,10.0,0.0,56.6,57.5522,-20.3484,60.053934670558455,-3.4539346705584535
0.259,7.5,0.192,55.6,-102.5528,23.6345,60.55047510683416,-4.950475106834162
0.01,3.9,0.216,46.8,103.8467,46.8625,53.12633239283575,-6.326332392835752
0.298,7.1,0.057,48.7,-7.0926,31.7917,55.417165854048626,-6.717165854048623
0.146,6.3,0.08,57.8,35.5296,-18.6657,54.35639528819338,3.443604711806614
0.963,10.0,0.025,54.4,95.956,21.9162,60.813316973042724,-6.4133169730427255
0.021,5.1,0.074,49.3,18.4904,-22.9576,51.46354825207493,-2.163548252074932
0.527,8.7,0.007,57.1,84.124,28.3949,57.445083867756736,-0.3450838677567347
0.574,8.9,0.003,61.3,5.2913,52.1326,57.7610048116196,3.5389951883803974
0.059,3.6,0.019,41.6,174.886,-40.9006,46.29068550271465,-4.690685502714651
0.353,6.7,0.01,44.5,-85.2072,12.8654,53.01385263618537,-8.51385263618537
0.382,8.2,0.089,52.5,8.0817,17.6078,58.905565531189765,-6.405565531189765
0.636,9.5,0.132,58.5,8.6753,9.082,63.1258889935406,-4.625888993540599
0.819,10.0,0.002,54.2,8.4689,60.472,60.15715046630667,-5.957150466306665
0.864,10.0,0.07,62.2,69.3451,30.3753,62.253305008338565,-0.05330500833856178
0.306,7.5,0.004,61.1,-80.7821,8.538,54.68490904319268,6.415090956807319
0.213,5.7,0.04,44.2,-58.4438,-23.4425,51.70625038023411,-7.506250380234107
0.253,5.9,0.047,60.7,-75.0152,-9.19,52.367112742140236,8.332887257859767
0.882,10.0,0.024,69.1,121.774,12.8797,60.815446929814875,8.284553070185119
0.783,10.0,0.028,52.1,19.1451,51.9194,60.980447045591674,-8.880447045591673
0.466,9.6,0.008,55.0,-8.2245,39.3999,59.569359117321355,-4.569359117321355
0.862,10.0,0.005,54.3,28.3699,47.4116,60.2328031221677,-5.932803122167705
0.681,10.0,0.025,60.4,24.9668,45.9432,60.928996934953,-0.5289969349529997
0.573,9.6,0.413,74.0,105.3188,61.524,72.11985922935818,1.880140770641816
0.797,10.0,0.004,57.5,29.8739,-1.9403,60.22836967684566,-2.7283696768456593
0.021,4.0,0.333,58.6,45.0792,23.8859,56.989995215891476,1.6100047841085257
0.406,7.1,0.018,46.9,-14.4524,14.4974,54.160069503053194,-7.260069503053195
0.807,10.0,0.007,59.1,21.0059,44.0165,60.317559349525986,-1.2175593495259847
0.443,8.1,0.008,51.3,-11.7799,8.4606,56.13186898658052,-4.831868986580524
0.724,10.0,0.004,57.7,19.699,48.669,60.25831519890045,-2.558315198900445
0.383,8.0,0.001,46.4,14.9955,46.1512,55.70900587870889,-9.309005878708895
0.026,4.2,0.085,45.2,46.1996,5.1521,49.735412105796804,-4.5354121057968015
0.129,4.9,0.185,51.9,22.9375,-30.5595,54.41145184770592,-2.5114518477059207
0.088,4.5,0.054,43.0,31.307,6.877,49.43534867071031,-6.435348670710312
0.637,10.0,0.05,69.3,-3.7492,40.4637,61.72447794895537,7.575522051044629
0.844,10.0,0.005,62.0,80.7718,7.8731,60.24018694952368,1.7598130504763176
0.188,6.5,0.216,63.1,30.2176,12.8628,59.02798458137327,4.072015418626734
0.812,10.0,0.0,65.8,-56.0278,3.9193,60.09782742206342,5.7021725779365795
0.846,10.0,0.006,60.1,18.6435,60.1282,60.27046379059164,-0.17046379059163996
0.283,6.8,0.003,45.4,8.2275,46.8182,53.054681657456115,-7.654681657456116
0.412,7.2,0.027,55.9,38.9968,34.8021,54.667278625652216,1.2327213743477827
0.27,6.8,0.007,55.6,71.2761,38.861,53.184403486976585,2.4155965130234165
0.966,10.0,0.045,66.2,100.9925,15.87,61.43403166174472,4.765968338255284
0.738,10.0,0.007,52.8,0.8248,8.6195,60.345864021057224,-7.545864021057227
0.51,9.3,0.019,60.6,9.5375,33.8869,59.20399468693912,1.3960053130608827
0.613,9.3,0.072,57.9,35.2433,38.9637,60.809897901433544,-2.9098979014335455
0.041,3.6,0.076,59.2,59.5563,38.9697,48.0706135108654,11.129386489134603
0.631,10.0,0.028,52.9,32.2903,1.3733,61.04279936548657,-8.142799365486574
0.818,10.0,0.079,55.4,31.1656,48.3794,62.55205018632698,-7.152050186326981
0.23,5.5,0.001,45.9,53.8478,23.4241,50.026893375815945,-4.126893375815946
0.349,6.7,0.033,47.6,-3.436,55.3781,53.730730612292774,-6.130730612292773
0.393,8.9,0.076,53.8,34.8888,-6.369,60.10535373988073,-6.305353739880729
0.37,7.5,0.813,75.1,-95.7129,37.0902,79.81634389556972,-4.716343895569722
0.147,6.1,0.027,60.9,-55.7658,-32.5228,52.248239957253155,8.651760042746844
0.173,6.6,0.049,46.3,64.5853,41.3775,54.070689295187954,-7.770689295187957
0.153,6.0,0.041,51.4,-66.5897,6.4238,52.45134540866734,-1.0513454086673448
0.948,10.0,0.024,70.4,108.2772,14.0583,60.7883728961763,9.611627103823707
0.062,4.7,0.045,60.1,48.5164,15.5527,49.62572880497929,10.474271195020712
0.161,5.5,0.046,59.7,27.8493,-13.1339,51.454575032185154,8.245424967814849
0.252,7.3,0.031,61.9,29.1549,-19.0154,55.0870967133299,6.8129032866701
