Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","012","Algeria","5110","Area","6610","Agricultural land","2020","2020","1000 ha","41288","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6620","Cropland","2020","2020","1000 ha","8481","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6621","Arable land","2020","2020","1000 ha","7531","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6630","Temporary crops","2020","2020","1000 ha","4682","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6640","Temporary fallow","2020","2020","1000 ha","2849","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6650","Permanent crops","2020","2020","1000 ha","951","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","32807","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6656","Perm. meadows & pastures - Cultivated","2020","2020","1000 ha","54","I","Value imputed by a receiving agency",""
"RL","Land Use","012","Algeria","5110","Area","6659","Perm. meadows & pastures - Nat. growing","2020","2020","1000 ha","32753","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6602","Agriculture","2020","2020","1000 ha","2.87","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6610","Agricultural land","2020","2020","1000 ha","2.87","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6620","Cropland","2020","2020","1000 ha","2.87","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6621","Arable land","2020","2020","1000 ha","0.96","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6630","Temporary crops","2020","2020","1000 ha","0.7412","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6633","Temporary meadows and pastures","2020","2020","1000 ha","0.1051","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6640","Temporary fallow","2020","2020","1000 ha","0.1137","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6650","Permanent crops","2020","2020","1000 ha","1.91","I","Value imputed by a receiving agency",""
"RL","Land Use","016","American Samoa","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","020","Andorra","5110","Area","6602","Agriculture","2020","2020","1000 ha","18.7773","I","Value imputed by a receiving agency",""
"RL","Land Use","020","Andorra","5110","Area","6610","Agricultural land","2020","2020","1000 ha","18.7773","I","Value imputed by a receiving agency",""
"RL","Land Use","020","Andorra","5110","Area","6620","Cropland","2020","2020","1000 ha","0.7773","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6621","Arable land","2020","2020","1000 ha","0.7689","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6630","Temporary crops","2020","2020","1000 ha","0.2089","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6633","Temporary meadows and pastures","2020","2020","1000 ha","0.5","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6640","Temporary fallow","2020","2020","1000 ha","0.06","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6650","Permanent crops","2020","2020","1000 ha","0.0084","A","Official figure",""
"RL","Land Use","020","Andorra","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","18","I","Value imputed by a receiving agency",""
"RL","Land Use","024","Angola","5110","Area","6602","Agriculture","2020","2020","1000 ha","45864","I","Value imputed by a receiving agency",""
"RL","Land Use","024","Angola","5110","Area","6610","Agricultural land","2020","2020","1000 ha","45864","I","Value imputed by a receiving agency",""
"RL","Land Use","024","Angola","5110","Area","6620","Cropland","2020","2020","1000 ha","5657","I","Value imputed by a receiving agency",""
"RL","Land Use","024","Angola","5110","Area","6621","Arable land","2020","2020","1000 ha","5340","I","Value imputed by a receiving agency",""
"RL","Land Use","024","Angola","5110","Area","6630","Temporary crops","2020","2020","1000 ha","4122.898","I","Value imputed by a receiving agency",""
"RL","Land Use","024","Angola","5110","Area","6633","Temporary meadows and pastures","2020","2020","1000 ha","584.3804","I","Value imputed by a receiving agency",""
"RL","Land Use","024","Angola","5110","Area","6640","Temporary fallow","2020","2020","1000 ha","632.7217","I","Value imputed by a receiving agency",""
"RL","Land Use","024","Angola","5110","Area","6650","Permanent crops","2020","2020","1000 ha","317","I","Value imputed by a receiving agency",""
"RL","Land Use","024","Angola","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","40207","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6602","Agriculture","2020","2020","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6610","Agricultural land","2020","2020","1000 ha","9","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6620","Cropland","2020","2020","1000 ha","5","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6621","Arable land","2020","2020","1000 ha","4","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6630","Temporary crops","2020","2020","1000 ha","3.0883","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6633","Temporary meadows and pastures","2020","2020","1000 ha","0.4377","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6640","Temporary fallow","2020","2020","1000 ha","0.4739","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6650","Permanent crops","2020","2020","1000 ha","1","I","Value imputed by a receiving agency",""
"RL","Land Use","028","Antigua and Barbuda","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","4","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6602","Agriculture","2020","2020","1000 ha","117679","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6610","Agricultural land","2020","2020","1000 ha","117679","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6620","Cropland","2020","2020","1000 ha","42998","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6621","Arable land","2020","2020","1000 ha","41930","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6630","Temporary crops","2020","2020","1000 ha","35921","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6633","Temporary meadows and pastures","2020","2020","1000 ha","3744","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6640","Temporary fallow","2020","2020","1000 ha","2265","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6650","Permanent crops","2020","2020","1000 ha","1068","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","74681","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6656","Perm. meadows & pastures - Cultivated","2020","2020","1000 ha","3661","I","Value imputed by a receiving agency",""
"RL","Land Use","032","Argentina","5110","Area","6659","Perm. meadows & pastures - Nat. growing","2020","2020","1000 ha","71020","I","Value imputed by a receiving agency",""
"RL","Land Use","051","Armenia","5110","Area","6602","Agriculture","2020","2020","1000 ha","2042.48","A","Official figure",""
"RL","Land Use","051","Armenia","5110","Area","6610","Agricultural land","2020","2020","1000 ha","1676","A","Official figure",""
"RL","Land Use","051","Armenia","5110","Area","6620","Cropland","2020","2020","1000 ha","504","A","Official figure",""
"RL","Land Use","051","Armenia","5110","Area","6621","Arable land","2020","2020","1000 ha","444","A","Official figure",""
"RL","Land Use","051","Armenia","5110","Area","6630","Temporary crops","2020","2020","1000 ha","223","A","Official figure",""
"RL","Land Use","051","Armenia","5110","Area","6633","Temporary meadows and pastures","2020","2020","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","051","Armenia","5110","Area","6640","Temporary fallow","2020","2020","1000 ha","221","I","Value imputed by a receiving agency",""
"RL","Land Use","051","Armenia","5110","Area","6650","Permanent crops","2020","2020","1000 ha","60","A","Official figure",""
"RL","Land Use","051","Armenia","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","1172","A","Official figure",""
"RL","Land Use","051","Armenia","5110","Area","6656","Perm. meadows & pastures - Cultivated","2020","2020","1000 ha","121","A","Official figure",""
"RL","Land Use","051","Armenia","5110","Area","6659","Perm. meadows & pastures - Nat. growing","2020","2020","1000 ha","1051","A","Official figure",""
"RL","Land Use","051","Armenia","5110","Area","6649","Farm buildings and Farmyards","2020","2020","1000 ha","366.48","I","Value imputed by a receiving agency",""
"RL","Land Use","533","Aruba","5110","Area","6602","Agriculture","2020","2020","1000 ha","2","I","Value imputed by a receiving agency",""
"RL","Land Use","533","Aruba","5110","Area","6610","Agricultural land","2020","2020","1000 ha","2","I","Value imputed by a receiving agency",""
"RL","Land Use","533","Aruba","5110","Area","6620","Cropland","2020","2020","1000 ha","2","I","Value imputed by a receiving agency",""
"RL","Land Use","533","Aruba","5110","Area","6621","Arable land","2020","2020","1000 ha","2","I","Value imputed by a receiving agency",""
"RL","Land Use","533","Aruba","5110","Area","6630","Temporary crops","2020","2020","1000 ha","1.5442","I","Value imputed by a receiving agency",""
"RL","Land Use","533","Aruba","5110","Area","6633","Temporary meadows and pastures","2020","2020","1000 ha","0.2189","I","Value imputed by a receiving agency",""
"RL","Land Use","533","Aruba","5110","Area","6640","Temporary fallow","2020","2020","1000 ha","0.237","I","Value imputed by a receiving agency",""
"RL","Land Use","654","Ascension, Saint Helena and Tristan da Cunha","5110","Area","6602","Agriculture","2020","2020","1000 ha","12","I","Value imputed by a receiving agency",""
"RL","Land Use","654","Ascension, Saint Helena and Tristan da Cunha","5110","Area","6610","Agricultural land","2020","2020","1000 ha","12","I","Value imputed by a receiving agency",""
"RL","Land Use","654","Ascension, Saint Helena and Tristan da Cunha","5110","Area","6620","Cropland","2020","2020","1000 ha","4","I","Value imputed by a receiving agency",""
"RL","Land Use","654","Ascension, Saint Helena and Tristan da Cunha","5110","Area","6621","Arable land","2020","2020","1000 ha","4","I","Value imputed by a receiving agency",""
"RL","Land Use","654","Ascension, Saint Helena and Tristan da Cunha","5110","Area","6630","Temporary crops","2020","2020","1000 ha","3.0883","I","Value imputed by a receiving agency",""
"RL","Land Use","654","Ascension, Saint Helena and Tristan da Cunha","5110","Area","6633","Temporary meadows and pastures","2020","2020","1000 ha","0.4377","I","Value imputed by a receiving agency",""
"RL","Land Use","654","Ascension, Saint Helena and Tristan da Cunha","5110","Area","6640","Temporary fallow","2020","2020","1000 ha","0.4739","I","Value imputed by a receiving agency",""
"RL","Land Use","654","Ascension, Saint Helena and Tristan da Cunha","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","8","I","Value imputed by a receiving agency",""
"RL","Land Use","036","Australia","5110","Area","6602","Agriculture","2020","2020","1000 ha","377002","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6610","Agricultural land","2020","2020","1000 ha","355775","I","Value imputed by a receiving agency",""
"RL","Land Use","036","Australia","5110","Area","6620","Cropland","2020","2020","1000 ha","30996","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6621","Arable land","2020","2020","1000 ha","30644","I","Value imputed by a receiving agency",""
"RL","Land Use","036","Australia","5110","Area","6630","Temporary crops","2020","2020","1000 ha","25004.8111","I","Value imputed by a receiving agency",""
"RL","Land Use","036","Australia","5110","Area","6633","Temporary meadows and pastures","2020","2020","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","036","Australia","5110","Area","6640","Temporary fallow","2020","2020","1000 ha","5639.1889","I","Value imputed by a receiving agency",""
"RL","Land Use","036","Australia","5110","Area","6650","Permanent crops","2020","2020","1000 ha","352","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","324779","A","Official figure",""
"RL","Land Use","036","Australia","5110","Area","6649","Farm buildings and Farmyards","2020","2020","1000 ha","76","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6602","Agriculture","2020","2020","1000 ha","2633.1729","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6610","Agricultural land","2020","2020","1000 ha","2602.6653","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6620","Cropland","2020","2020","1000 ha","1392.6854","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6621","Arable land","2020","2020","1000 ha","1324.9714","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6630","Temporary crops","2020","2020","1000 ha","1120.6972","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6633","Temporary meadows and pastures","2020","2020","1000 ha","153.4402","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6640","Temporary fallow","2020","2020","1000 ha","50.834","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6650","Permanent crops","2020","2020","1000 ha","67.714","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","1209.9799","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6656","Perm. meadows & pastures - Cultivated","2020","2020","1000 ha","789.62","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6659","Perm. meadows & pastures - Nat. growing","2020","2020","1000 ha","420.36","A","Official figure",""
"RL","Land Use","040","Austria","5110","Area","6649","Farm buildings and Farmyards","2020","2020","1000 ha","31","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6602","Agriculture","2020","2020","1000 ha","4780.1","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6610","Agricultural land","2020","2020","1000 ha","4780.1","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6620","Cropland","2020","2020","1000 ha","2357","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6621","Arable land","2020","2020","1000 ha","2084.3","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6630","Temporary crops","2020","2020","1000 ha","2045.2","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6633","Temporary meadows and pastures","2020","2020","1000 ha","0","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6640","Temporary fallow","2020","2020","1000 ha","39.2","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6650","Permanent crops","2020","2020","1000 ha","272.7","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","2423","A","Official figure",""
"RL","Land Use","031","Azerbaijan","5110","Area","6656","Perm. meadows & pastures - Cultivated","2020","2020","1000 ha","2423","A","Official figure",""
"RL","Land Use","044","Bahamas","5110","Area","6602","Agriculture","2020","2020","1000 ha","13","I","Value imputed by a receiving agency",""
"RL","Land Use","044","Bahamas","5110","Area","6610","Agricultural land","2020","2020","1000 ha","13","I","Value imputed by a receiving agency",""
"RL","Land Use","044","Bahamas","5110","Area","6620","Cropland","2020","2020","1000 ha","11","I","Value imputed by a receiving agency",""
"RL","Land Use","044","Bahamas","5110","Area","6621","Arable land","2020","2020","1000 ha","8","I","Value imputed by a receiving agency",""
"RL","Land Use","044","Bahamas","5110","Area","6630","Temporary crops","2020","2020","1000 ha","6.1766","I","Value imputed by a receiving agency",""
"RL","Land Use","044","Bahamas","5110","Area","6633","Temporary meadows and pastures","2020","2020","1000 ha","0.8755","I","Value imputed by a receiving agency",""
"RL","Land Use","044","Bahamas","5110","Area","6640","Temporary fallow","2020","2020","1000 ha","0.9479","I","Value imputed by a receiving agency",""
"RL","Land Use","044","Bahamas","5110","Area","6650","Permanent crops","2020","2020","1000 ha","3","I","Value imputed by a receiving agency",""
"RL","Land Use","044","Bahamas","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","2","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6602","Agriculture","2020","2020","1000 ha","9.2","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6610","Agricultural land","2020","2020","1000 ha","8.1","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6620","Cropland","2020","2020","1000 ha","4.1","A","Official figure",""
"RL","Land Use","048","Bahrain","5110","Area","6621","Arable land","2020","2020","1000 ha","2.1","A","Official figure",""
"RL","Land Use","048","Bahrain","5110","Area","6630","Temporary crops","2020","2020","1000 ha","1.5","A","Official figure",""
"RL","Land Use","048","Bahrain","5110","Area","6633","Temporary meadows and pastures","2020","2020","1000 ha","0","A","Official figure",""
"RL","Land Use","048","Bahrain","5110","Area","6640","Temporary fallow","2020","2020","1000 ha","0.6","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6650","Permanent crops","2020","2020","1000 ha","2","A","Official figure",""
"RL","Land Use","048","Bahrain","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","4","I","Value imputed by a receiving agency",""
"RL","Land Use","048","Bahrain","5110","Area","6649","Farm buildings and Farmyards","2020","2020","1000 ha","1.1","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6602","Agriculture","2020","2020","1000 ha","9430","I","Value imputed by a receiving agency",""
"RL","Land Use","050","Bangladesh","5110","Area","6610","Agricultural land","2020","2020","1000 ha","9430","I","Value imputed by a receiving agency",""
"RL","Land Use","050","Bangladesh","5110","Area","6620","Cropland","2020","2020","1000 ha","8830","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6621","Arable land","2020","2020","1000 ha","7890","I","Value imputed by a receiving agency",""
"RL","Land Use","050","Bangladesh","5110","Area","6630","Temporary crops","2020","2020","1000 ha","6091.6975","I","Value imputed by a receiving agency",""
"RL","Land Use","050","Bangladesh","5110","Area","6633","Temporary meadows and pastures","2020","2020","1000 ha","1367.3025","I","Value imputed by a receiving agency",""
"RL","Land Use","050","Bangladesh","5110","Area","6640","Temporary fallow","2020","2020","1000 ha","431","A","Official figure",""
"RL","Land Use","050","Bangladesh","5110","Area","6650","Permanent crops","2020","2020","1000 ha","940","I","Value imputed by a receiving agency",""
"RL","Land Use","050","Bangladesh","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","600","I","Value imputed by a receiving agency",""
"RL","Land Use","052","Barbados","5110","Area","6602","Agriculture","2020","2020","1000 ha","10","I","Value imputed by a receiving agency",""
"RL","Land Use","052","Barbados","5110","Area","6610","Agricultural land","2020","2020","1000 ha","10","I","Value imputed by a receiving agency",""
"RL","Land Use","052","Barbados","5110","Area","6620","Cropland","2020","2020","1000 ha","8","I","Value imputed by a receiving agency",""
"RL","Land Use","052","Barbados","5110","Area","6621","Arable land","2020","2020","1000 ha","7","I","Value imputed by a receiving agency",""
"RL","Land Use","052","Barbados","5110","Area","6630","Temporary crops","2020","2020","1000 ha","5.4045","I","Value imputed by a receiving agency",""
"RL","Land Use","052","Barbados","5110","Area","6633","Temporary meadows and pastures","2020","2020","1000 ha","0.766","I","Value imputed by a receiving agency",""
"RL","Land Use","052","Barbados","5110","Area","6640","Temporary fallow","2020","2020","1000 ha","0.8294","I","Value imputed by a receiving agency",""
"RL","Land Use","052","Barbados","5110","Area","6650","Permanent crops","2020","2020","1000 ha","1","I","Value imputed by a receiving agency",""
"RL","Land Use","052","Barbados","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","2","I","Value imputed by a receiving agency",""
"RL","Land Use","112","Belarus","5110","Area","6602","Agriculture","2020","2020","1000 ha","8284","A","Official figure",""
"RL","Land Use","112","Belarus","5110","Area","6610","Agricultural land","2020","2020","1000 ha","8281","A","Official figure",""
"RL","Land Use","112","Belarus","5110","Area","6620","Cropland","2020","2020","1000 ha","5760","A","Official figure",""
"RL","Land Use","112","Belarus","5110","Area","6621","Arable land","2020","2020","1000 ha","5660","A","Official figure",""
"RL","Land Use","112","Belarus","5110","Area","6630","Temporary crops","2020","2020","1000 ha","4369.963","I","Value imputed by a receiving agency",""
"RL","Land Use","112","Belarus","5110","Area","6633","Temporary meadows and pastures","2020","2020","1000 ha","1267.537","I","Value imputed by a receiving agency",""
"RL","Land Use","112","Belarus","5110","Area","6640","Temporary fallow","2020","2020","1000 ha","22.5","I","Value imputed by a receiving agency",""
"RL","Land Use","112","Belarus","5110","Area","6650","Permanent crops","2020","2020","1000 ha","100","A","Official figure",""
"RL","Land Use","112","Belarus","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","2521","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6602","Agriculture","2020","2020","1000 ha","1364.6093","I","Value imputed by a receiving agency",""
"RL","Land Use","056","Belgium","5110","Area","6610","Agricultural land","2020","2020","1000 ha","1364.6093","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6620","Cropland","2020","2020","1000 ha","888.4901","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6621","Arable land","2020","2020","1000 ha","864.8766","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6630","Temporary crops","2020","2020","1000 ha","754.4666","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6633","Temporary meadows and pastures","2020","2020","1000 ha","93.94","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6640","Temporary fallow","2020","2020","1000 ha","16.47","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6650","Permanent crops","2020","2020","1000 ha","23.6135","A","Official figure",""
"RL","Land Use","056","Belgium","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","476.1192","A","Official figure",""
"RL","Land Use","084","Belize","5110","Area","6602","Agriculture","2020","2020","1000 ha","180","I","Value imputed by a receiving agency",""
"RL","Land Use","084","Belize","5110","Area","6610","Agricultural land","2020","2020","1000 ha","180","I","Value imputed by a receiving agency",""
"RL","Land Use","084","Belize","5110","Area","6620","Cropland","2020","2020","1000 ha","130","I","Value imputed by a receiving agency",""
"RL","Land Use","084","Belize","5110","Area","6621","Arable land","2020","2020","1000 ha","98","I","Value imputed by a receiving agency",""
"RL","Land Use","084","Belize","5110","Area","6630","Temporary crops","2020","2020","1000 ha","75.6637","I","Value imputed by a receiving agency",""
"RL","Land Use","084","Belize","5110","Area","6633","Temporary meadows and pastures","2020","2020","1000 ha","10.7246","I","Value imputed by a receiving agency",""
"RL","Land Use","084","Belize","5110","Area","6640","Temporary fallow","2020","2020","1000 ha","11.6117","I","Value imputed by a receiving agency",""
"RL","Land Use","084","Belize","5110","Area","6650","Permanent crops","2020","2020","1000 ha","32","I","Value imputed by a receiving agency",""
"RL","Land Use","084","Belize","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","50","I","Value imputed by a receiving agency",""
"RL","Land Use","204","Benin","5110","Area","6602","Agriculture","2020","2020","1000 ha","4433.0486","I","Value imputed by a receiving agency",""
"RL","Land Use","204","Benin","5110","Area","6610","Agricultural land","2020","2020","1000 ha","4433.0486","I","Value imputed by a receiving agency",""
"RL","Land Use","204","Benin","5110","Area","6620","Cropland","2020","2020","1000 ha","3883.0486","I","Value imputed by a receiving agency",""
"RL","Land Use","204","Benin","5110","Area","6621","Arable land","2020","2020","1000 ha","3331.2586","I","Value imputed by a receiving agency",""
"RL","Land Use","204","Benin","5110","Area","6630","Temporary crops","2020","2020","1000 ha","2841.9241","I","Value imputed by a receiving agency",""
"RL","Land Use","204","Benin","5110","Area","6633","Temporary meadows and pastures","2020","2020","1000 ha","306.4167","I","Value imputed by a receiving agency",""
"RL","Land Use","204","Benin","5110","Area","6640","Temporary fallow","2020","2020","1000 ha","182.9178","I","Value imputed by a receiving agency",""
"RL","Land Use","204","Benin","5110","Area","6650","Permanent crops","2020","2020","1000 ha","551.79","I","Value imputed by a receiving agency",""
"RL","Land Use","204","Benin","5110","Area","6655","Permanent meadows and pastures","2020","2020","1000 ha","550","I","Value imputed by a receiving agency",""
"RL","Land Use","060","Bermuda","5110","Area","6602","Agriculture","2020","2020","1000 ha","0.3","A","Official figure",""
"RL","Land Use","060","Bermuda","5110","Area","6610","Agricultural land","2020","2020","1000 ha","0.3","I","Value imputed by a receiving agency",""
"RL","Land Use","060","Bermuda","5110","Area","6620","Cropland","2020","2020","1000 ha","0.3","I","Value imputed by a receiving agency",""
"RL","Land Use","060","Bermuda","5110","Area","6621","Arable land","2020","2020","1000 ha","0.3","I","Value imputed by a receiving agency",""
"RL","Land Use","060","Bermuda","5110","Area","6630","Temporary crops","2020","2020","1000 ha","0.2316","I","Value imputed by a receiving agency",""
"RL","Land Use","060","Bermuda","5110","Area","6633","Temporary meadows and pastures","2020","2020","1000 ha","0.0328","I","Value imputed by a receiving agency",""
"RL","Land Use","060","Bermuda","5110","Area","6640","Temporary fallow","2020","2020","1000 ha","0.0355","I","Value imputed by a receiving agency",""
